Role,Job Title,Employer,Salary,Region,Timestamp,Visa,Essential_Criteria,Desirable_Criteria,Link
FY2,FY2 in Anaesthetics (Ref: NHS-019-00277),NHS Western Isles (Scotland),"£52,530 to £78,274 (SAS/Specialist level)",Scotland,2026-06-03 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/44186185/
CT,Core Trainee CT1 in Radiology (Ref: NHS-019-00278),Powys Teaching Health Board (Wales),"£55,329 to £71,589 (ST4-ST8 level)",Wales,2026-06-05 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/40179030/
ST_Junior,ST2 in Orthopaedic Surgery (Ref: NHS-019-00279),Business Services Organisation NI (Northern Ireland),"£88,364 to £119,133 (Consultant level)",Northern Ireland,2026-06-03 14:14:09,Visa Not Required (UK/EU),"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/91497982/
ST_Senior,ST3 in Cardiology (Ref: NHS-019-00280),Mersey & West Lancashire Teaching Hospitals NHS Trust (England),"£88,364 to £119,133 (Consultant level)",England,2026-06-06 14:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/77435829/
SAS,Specialty Doctor in Emergency Medicine (Ref: NHS-019-00281),NHS Lothian (Scotland),"£88,364 to £119,133 (Consultant level)",Scotland,2026-06-07 12:14:09,Tier 2 Sponsorship Available,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/66489842/
Specialist,Specialist Grade in Ophthalmology (Ref: NHS-019-00282),Betsi Cadwaladr University Health Board (Wales),"£65,000 to £85,000 (GP Partner)",Wales,2026-06-06 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/26804261/
GP,Locum Salaried GP (Ref: NHS-019-00283),Southern Health & Social Care Trust (Northern Ireland),"£35,000 to £55,000 (Dental Trainee)",Northern Ireland,2026-06-03 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/66257427/
Dental,Dental Core Trainee DCT2 (Ref: NHS-019-00284),Stockport NHS FT (England),"£45,000 to £65,000 (GP Salaried)",England,2026-06-03 14:14:09,Skilled Worker Visa Supported,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/77138799/
JCF,Junior Clinical Fellow in Emergency Medicine (Ref: NHS-020-00285),NHS Fife (Scotland),"£65,000 to £85,000 (GP Partner)",Scotland,2026-06-06 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/50579301/
SCF,Senior Clinical Fellow in Renal Medicine (Ref: NHS-020-00286),Powys Teaching Health Board (Wales),"£35,000 to £55,000 (Dental Trainee)",Wales,2026-06-07 18:14:09,Visa Not Required (UK/EU),"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/12764762/
Teaching,Simulation Teaching Fellow (Ref: NHS-020-00287),Business Services Organisation NI (Northern Ireland),"£82,000 to £110,000 (Dental Consultant)",Northern Ireland,2026-06-07 12:14:09,Tier 2 Sponsorship Available,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/86483795/
TrustGrade,Trust Grade SHO in Surgery (Ref: NHS-020-00288),Northern Care Alliance NHS Group (England),"£43,923 to £55,329 (ST1-ST3 level)",England,2026-06-07 18:14:09,Skilled Worker Visa Supported,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/95021483/
LAS,LAS in Paediatrics (Ref: NHS-020-00289),NHS Borders (Scotland),"£43,923 to £55,329 (ST1-ST3 level)",Scotland,2026-06-07 18:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/65939449/
Locum,Locum GP Sessional (Ref: NHS-020-00290),Betsi Cadwaladr University Health Board (Wales),"£45,000 to £65,000 (GP Salaried)",Wales,2026-06-01 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/32199154/
FY1,FY1 in General Practice (Ref: NHS-020-00291),Southern Health & Social Care Trust (Northern Ireland),"£32,397 to £37,303 (FY/CT level)",Northern Ireland,2026-06-01 14:14:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/12044131/
FY2,Foundation Year 2 Doctor - Rotational (Ref: NHS-020-00292),Cheshire & Wirral Partnership NHS FT (England),"£55,329 to £71,589 (ST4-ST8 level)",England,2026-06-07 18:14:09,Tier 2 Sponsorship Available,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/78971701/
CT,Core Trainee CT3 in Anaesthetics (Ref: NHS-020-00293),NHS Shetland (Scotland),"£82,000 to £110,000 (Dental Consultant)",Scotland,2026-06-03 14:14:09,Skilled Worker Visa Supported,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/17514856/
ST_Junior,ST1 in Neurosurgery (Ref: NHS-020-00294),Powys Teaching Health Board (Wales),"£55,329 to £71,589 (ST4-ST8 level)",Wales,2026-06-06 14:14:09,Skilled Worker Visa Supported,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/96829003/
ST_Senior,ST8 in Geriatric Medicine (Ref: NHS-020-00295),Business Services Organisation NI (Northern Ireland),"£45,000 to £65,000 (GP Salaried)",Northern Ireland,2026-06-03 14:14:09,Visa Not Required (UK/EU),"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/23597822/
SAS,Specialty Doctor in Radiology (Ref: NHS-020-00296),Guy's & St Thomas' NHS FT (England),"£52,530 to £78,274 (SAS/Specialist level)",England,2026-06-07 12:14:09,Visa Not Required (UK/EU),"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/95512161/
Specialist,Specialist Grade in Urology (Ref: NHS-020-00297),NHS Tayside (Scotland),"£32,397 to £37,303 (FY/CT level)",Scotland,2026-06-07 12:14:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/90251397/
GP,Salaried GP Session (Ref: NHS-020-00298),Betsi Cadwaladr University Health Board (Wales),"£65,000 to £85,000 (GP Partner)",Wales,2026-06-07 12:14:09,Limited Sponsorship - Apply Early,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/41901241/
Dental,Consultant in Restorative Dentistry (Ref: NHS-020-00299),Southern Health & Social Care Trust (Northern Ireland),"£45,000 to £65,000 (GP Salaried)",Northern Ireland,2026-06-07 12:14:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/57288248/
JCF,Junior Clinical Fellow in Paediatrics (Ref: NHS-021-00300),Royal Free London NHS FT (England),"£32,397 to £37,303 (FY/CT level)",England,2026-06-01 14:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/81884735/
SCF,Senior Clinical Fellow in Renal Medicine (Ref: NHS-021-00301),NHS Ayrshire & Arran (Scotland),"£32,397 to £37,303 (FY/CT level)",Scotland,2026-06-03 14:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/78361247/
Teaching,Simulation Teaching Fellow (Ref: NHS-021-00302),Powys Teaching Health Board (Wales),"£52,530 to £78,274 (SAS/Specialist level)",Wales,2026-06-03 14:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/84443832/
TrustGrade,Trust Grade Doctor in Psychiatry (Ref: NHS-021-00303),Business Services Organisation NI (Northern Ireland),"£88,364 to £119,133 (Consultant level)",Northern Ireland,2026-06-07 12:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/22062852/
LAS,LAS ST2 in Orthopaedics (Ref: NHS-021-00304),Oxford University Hospitals NHS FT (England),"£45,000 to £65,000 (GP Salaried)",England,2026-06-03 14:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/45001915/
Locum,Bank Shift Doctor (Ref: NHS-021-00305),NHS Western Isles (Scotland),"£88,364 to £119,133 (Consultant level)",Scotland,2026-06-05 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/19683658/
FY1,FY1 in Surgery (Ref: NHS-021-00306),Betsi Cadwaladr University Health Board (Wales),"£43,923 to £55,329 (ST1-ST3 level)",Wales,2026-06-01 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/37367548/
FY2,FY2 in Paediatrics (Ref: NHS-021-00307),Southern Health & Social Care Trust (Northern Ireland),"£88,364 to £119,133 (Consultant level)",Northern Ireland,2026-06-03 14:14:09,Skilled Worker Visa Supported,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/20013586/
CT,Core Trainee CT2 in Surgery (Ref: NHS-021-00308),Nottingham University Hospitals FT (England),"£45,000 to £65,000 (GP Salaried)",England,2026-06-05 14:14:09,Skilled Worker Visa Supported,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/11522827/
ST_Junior,ST1 in General Surgery (Ref: NHS-021-00309),NHS Lothian (Scotland),"£82,000 to £110,000 (Dental Consultant)",Scotland,2026-06-01 14:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/64848534/
